material_description,material_price,vendor,location,dow,zip,region,date,raw_material,steel_price,copper_price,target_price
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),3.98,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Sunday,30339,southeast,2022-10-23,steel,1545.64,7540.0,low price
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),5.99,amazon,"410 Terry Ave N. Seattle, WA, 98109",Sunday,98109,west,2022-10-23,steel,1545.64,7540.0,high price
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),5.99,lowes,"1000 Lowe's Blvd. Mooresville, NC, 28117",Sunday,28117,east,2022-10-23,steel,1545.64,7540.0,high price
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),2.29,wilmar,"28 Biopolis Road. Singapore, 138568",Sunday,other,other,2022-10-23,steel,1545.64,7540.0,low price
3/4 in. Electrical Metallic Tube (EMT) Set-Screw Connector (5-Pack),4.6,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Sunday,30339,southeast,2022-10-23,steel,1545.64,7540.0,low price
3/4 in. Electrical Metallic Tube (EMT) Set-Screw Connector (5-Pack),5.99,lowes,"1000 Lowe's Blvd. Mooresville, NC, 28117",Sunday,28117,east,2022-10-23,steel,1545.64,7540.0,about average
1 in. Electrical Metallic Tube (EMT) Set-Screw Connector,1.6,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Sunday,30339,southeast,2022-10-23,steel,1545.64,7540.0,high price
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,114.0,amazon,"410 Terry Ave N. Seattle, WA, 98109",Sunday,98109,west,2022-10-23,copper,1545.64,7540.0,about average
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,111.99,ebay,"2025 Hamilton Avenue. San Jose, California, 95125",Sunday,95125,west,2022-10-23,copper,1545.64,7540.0,about average
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,84.99,landmsupply,"1200 E Us Hwy 169. Grand Rapids, Minnesota, 55744",Sunday,55744,northplaines,2022-10-23,copper,1545.64,7540.0,low price
250 ft. 14/3 Solid Romex SIMpull CU NM-B W/G Wire,158.0,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Sunday,30339,southeast,2022-10-23,copper,1545.64,7540.0,low price
250 ft. 14/3 Solid Romex SIMpull CU NM-B W/G Wire,159.0,lowes,"1000 Lowe's Blvd. Mooresville, NC, 28117",Sunday,28117,east,2022-10-23,copper,1545.64,7540.0,about average
250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,149.0,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Sunday,30339,southeast,2022-10-23,copper,1545.64,7540.0,high price
250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,149.0,lowes,"1000 Lowe's Blvd. Mooresville, NC, 28117",Sunday,28117,east,2022-10-23,copper,1545.64,7540.0,high price
250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,200.02,dkhardware,"1835 E Hallandale Bch 264 Hallandale. Beach, FL, 33009",Sunday,33009,southeast,2022-10-23,copper,1545.64,7540.0,high price
250 ft. 12/3 Solid Romex SIMpull CU NM-B W/G Wire,289.0,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Sunday,30339,southeast,2022-10-23,copper,1545.64,7540.0,low price
250 ft. 12/3 Solid Romex SIMpull CU NM-B W/G Wire,279.0,lowes,"1000 Lowe's Blvd. Mooresville, NC, 28117",Sunday,28117,east,2022-10-23,copper,1545.64,7540.0,low price
250 ft. 12/3 Solid Romex SIMpull CU NM-B W/G Wire,315.01,ebay,"2025 Hamilton Avenue. San Jose, California, 95125",Sunday,95125,west,2022-10-23,copper,1545.64,7540.0,high price
250 ft. 12/3 Solid Romex SIMpull CU NM-B W/G Wire,339.09,qcsupply,"574 Road 11. Schuyler, Nebraska, 68661",Sunday,68661,central,2022-10-23,copper,1545.64,7540.0,high price
500 ft. 4 Gauge Black Stranded Copper THHN Wire,765.0,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Sunday,30339,southeast,2022-10-23,copper,1545.64,7540.0,high price
500 ft. 4 Gauge Black Stranded Copper THHN Wire,613.64,amazon,"410 Terry Ave N. Seattle, WA, 98109",Sunday,98109,west,2022-10-23,copper,1545.64,7540.0,low price
500 ft. 4 Gauge Black Stranded Copper THHN Wire,1047.78,ebay,"2025 Hamilton Avenue. San Jose, California, 95125",Sunday,95125,west,2022-10-23,copper,1545.64,7540.0,high price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,425.0,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Sunday,30339,southeast,2022-10-23,copper,1545.64,7540.0,about average
500 ft. 6 Gauge Black Stranded Copper THHN Wire,470.43,amazon,"410 Terry Ave N. Seattle, WA, 98109",Sunday,98109,west,2022-10-23,copper,1545.64,7540.0,high price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,445.81,ebay,"2025 Hamilton Avenue. San Jose, California, 95125",Sunday,95125,west,2022-10-23,copper,1545.64,7540.0,about average
500 ft. 10 Gauge Black Stranded Copper THHN Wire,145.0,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Sunday,30339,southeast,2022-10-23,copper,1545.64,7540.0,low price
500 ft. 10 Gauge Black Stranded Copper THHN Wire,155.99,amazon,"410 Terry Ave N. Seattle, WA, 98109",Sunday,98109,west,2022-10-23,copper,1545.64,7540.0,low price
500 ft. 10 Gauge Black Stranded Copper THHN Wire,398.95,cooper-electric,"1 Matrix Drive. Monroe, NJ, 08831",Sunday,08831,northeast,2022-10-23,copper,1545.64,7540.0,high price
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,7.22,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Monday,30339,southeast,2022-10-24,steel,1545.64,7540.0,high price
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,7.68,lowes,"1000 Lowe's Blvd. Mooresville, NC, 28117",Monday,28117,east,2022-10-24,steel,1545.64,7540.0,high price
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,5.88,supplyworks,"6260 Abbott Dr. Omaha, Nebraska, 68110",Monday,68110,central,2022-10-24,steel,1545.64,7540.0,low price
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,9.09,ebay,"2025 Hamilton Avenue. San Jose, California, 95125",Monday,95125,west,2022-10-24,steel,1545.64,7540.0,high price
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,11.91,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Monday,30339,southeast,2022-10-24,steel,1545.64,7540.0,high price
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,10.47,ebarnett,"4601 Bulls Bay Hwy #100. Jacksonville, FL, 32219",Monday,32219,southeast,2022-10-24,steel,1545.64,7540.0,about average
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,8.36,gordonelectricsupply,"1290 N Hobbie Ave. Kankakee, Illinois, 60901",Monday,60901,central,2022-10-24,steel,1545.64,7540.0,low price
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,20.62,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Monday,30339,southeast,2022-10-24,steel,1545.64,7540.0,about average
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,17.55,wilmar,"28 Biopolis Road. Singapore, 138568",Monday,other,other,2022-10-24,steel,1545.64,7540.0,low price
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,8.9,linemen-tools,"5941 1st Avenue Eastman, GA, 31023",Monday,31023,southeast,2022-10-24,steel,1545.64,7540.0,low price
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,24.99,truevalue,"8600 W Bryn Mawr Ave. Chicago, IL, 60631",Monday,60631,central,2022-10-24,steel,1545.64,7540.0,high price
1/2 in. Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),3.98,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Monday,30339,southeast,2022-10-24,steel,1545.64,7540.0,low price
1/2 in. Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),5.99,amazon,"410 Terry Ave N. Seattle, WA, 98109",Monday,98109,west,2022-10-24,steel,1545.64,7540.0,high price
1/2 in. Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),2.1,wilmar,"28 Biopolis Road. Singapore, 138568",Monday,other,other,2022-10-24,steel,1545.64,7540.0,low price
1/2 in. Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),5.99,lowes,"1000 Lowe's Blvd. Mooresville, NC, 28117",Monday,28117,east,2022-10-24,steel,1545.64,7540.0,high price
3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),2.98,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Monday,30339,southeast,2022-10-24,steel,1545.64,7540.0,low price
3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),3.66,supplyworks,"6260 Abbott Dr. Omaha, Nebraska, 68110",Monday,68110,central,2022-10-24,steel,1545.64,7540.0,high price
3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),2.98,pinterest,"651 Brannan St. San Francisco, CA, 94107",Monday,94107,west,2022-10-24,steel,1545.64,7540.0,low price
3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),3.6,superarbor,online,Monday,other,other,2022-10-24,steel,1545.64,7540.0,about average
1 in. Electric Metallic Tube (EMT) Set-Screw Coupling,1.15,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Monday,30339,southeast,2022-10-24,steel,1545.64,7540.0,high price
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),3.98,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Monday,30339,southeast,2022-10-24,steel,1545.64,7540.0,low price
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),5.99,amazon,"410 Terry Ave N. Seattle, WA, 98109",Monday,98109,west,2022-10-24,steel,1545.64,7540.0,high price
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),5.99,lowes,"1000 Lowe's Blvd. Mooresville, NC, 28117",Monday,28117,east,2022-10-24,steel,1545.64,7540.0,high price
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),2.29,wilmar,"28 Biopolis Road. Singapore, 138568",Monday,other,other,2022-10-24,steel,1545.64,7540.0,low price
3/4 in. Electrical Metallic Tube (EMT) Set-Screw Connector (5-Pack),4.6,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Monday,30339,southeast,2022-10-24,steel,1545.64,7540.0,low price
3/4 in. Electrical Metallic Tube (EMT) Set-Screw Connector (5-Pack),5.99,lowes,"1000 Lowe's Blvd. Mooresville, NC, 28117",Monday,28117,east,2022-10-24,steel,1545.64,7540.0,about average
1 in. Electrical Metallic Tube (EMT) Set-Screw Connector,1.6,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Monday,30339,southeast,2022-10-24,steel,1545.64,7540.0,high price
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,118.0,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Monday,30339,southeast,2022-10-24,copper,1545.64,7540.0,high price
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,114.0,amazon,"410 Terry Ave N. Seattle, WA, 98109",Monday,98109,west,2022-10-24,copper,1545.64,7540.0,about average
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,111.99,ebay,"2025 Hamilton Avenue. San Jose, California, 95125",Monday,95125,west,2022-10-24,copper,1545.64,7540.0,about average
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,84.99,landmsupply,"1200 E Us Hwy 169. Grand Rapids, Minnesota, 55744",Monday,55744,northplaines,2022-10-24,copper,1545.64,7540.0,low price
250 ft. 14/3 Solid Romex SIMpull CU NM-B W/G Wire,158.0,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Monday,30339,southeast,2022-10-24,copper,1545.64,7540.0,low price
250 ft. 14/3 Solid Romex SIMpull CU NM-B W/G Wire,158.0,lowes,"1000 Lowe's Blvd. Mooresville, NC, 28117",Monday,28117,east,2022-10-24,copper,1545.64,7540.0,low price
250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,149.0,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Monday,30339,southeast,2022-10-24,copper,1545.64,7540.0,high price
250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,149.0,lowes,"1000 Lowe's Blvd. Mooresville, NC, 28117",Monday,28117,east,2022-10-24,copper,1545.64,7540.0,high price
250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,200.02,dkhardware,"1835 E Hallandale Bch 264 Hallandale. Beach, FL, 33009",Monday,33009,southeast,2022-10-24,copper,1545.64,7540.0,high price
250 ft. 12/3 Solid Romex SIMpull CU NM-B W/G Wire,289.0,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Monday,30339,southeast,2022-10-24,copper,1545.64,7540.0,low price
250 ft. 12/3 Solid Romex SIMpull CU NM-B W/G Wire,279.0,lowes,"1000 Lowe's Blvd. Mooresville, NC, 28117",Monday,28117,east,2022-10-24,copper,1545.64,7540.0,low price
250 ft. 12/3 Solid Romex SIMpull CU NM-B W/G Wire,315.01,ebay,"2025 Hamilton Avenue. San Jose, California, 95125",Monday,95125,west,2022-10-24,copper,1545.64,7540.0,high price
250 ft. 12/3 Solid Romex SIMpull CU NM-B W/G Wire,339.09,qcsupply,"574 Road 11. Schuyler, Nebraska, 68661",Monday,68661,central,2022-10-24,copper,1545.64,7540.0,high price
500 ft. 4 Gauge Black Stranded Copper THHN Wire,765.0,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Monday,30339,southeast,2022-10-24,copper,1545.64,7540.0,high price
500 ft. 4 Gauge Black Stranded Copper THHN Wire,613.64,amazon,"410 Terry Ave N. Seattle, WA, 98109",Monday,98109,west,2022-10-24,copper,1545.64,7540.0,low price
500 ft. 4 Gauge Black Stranded Copper THHN Wire,1047.78,ebay,"2025 Hamilton Avenue. San Jose, California, 95125",Monday,95125,west,2022-10-24,copper,1545.64,7540.0,high price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,379.0,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Monday,30339,southeast,2022-10-24,copper,1545.64,7540.0,low price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,470.43,amazon,"410 Terry Ave N. Seattle, WA, 98109",Monday,98109,west,2022-10-24,copper,1545.64,7540.0,high price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,445.81,ebay,"2025 Hamilton Avenue. San Jose, California, 95125",Monday,95125,west,2022-10-24,copper,1545.64,7540.0,about average
500 ft. 10 Gauge Black Stranded Copper THHN Wire,145.0,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Monday,30339,southeast,2022-10-24,copper,1545.64,7540.0,low price
500 ft. 10 Gauge Black Stranded Copper THHN Wire,155.99,amazon,"410 Terry Ave N. Seattle, WA, 98109",Monday,98109,west,2022-10-24,copper,1545.64,7540.0,low price
500 ft. 10 Gauge Black Stranded Copper THHN Wire,398.95,cooper-electric,"1 Matrix Drive. Monroe, NJ, 08831",Monday,08831,northeast,2022-10-24,copper,1545.64,7540.0,high price
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,7.63,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Tuesday,30339,southeast,2022-10-25,steel,1549.37,7534.85,high price
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,5.99,lowes,"1000 Lowe's Blvd. Mooresville, NC, 28117",Tuesday,28117,east,2022-10-25,steel,1549.37,7534.85,about average
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,5.88,supplyworks,"6260 Abbott Dr. Omaha, Nebraska, 68110",Tuesday,68110,central,2022-10-25,steel,1549.37,7534.85,low price
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,7.24,menards,"4777 Menard Drive. Eau Claire, Wisconsin, 54703",Tuesday,54703,northplaines,2022-10-25,steel,1549.37,7534.85,high price
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,11.91,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Tuesday,30339,southeast,2022-10-25,steel,1549.37,7534.85,high price
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,10.47,ebarnett,"4601 Bulls Bay Hwy #100. Jacksonville, FL, 32219",Tuesday,32219,southeast,2022-10-25,steel,1549.37,7534.85,about average
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,8.36,gordonelectricsupply,"1290 N Hobbie Ave. Kankakee, Illinois, 60901",Tuesday,60901,central,2022-10-25,steel,1549.37,7534.85,low price
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,20.62,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Tuesday,30339,southeast,2022-10-25,steel,1549.37,7534.85,about average
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,17.55,wilmar,"28 Biopolis Road. Singapore, 138568",Tuesday,other,other,2022-10-25,steel,1549.37,7534.85,low price
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,8.9,linemen-tools,"5941 1st Avenue Eastman, GA, 31023",Tuesday,31023,southeast,2022-10-25,steel,1549.37,7534.85,low price
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,24.99,truevalue,"8600 W Bryn Mawr Ave. Chicago, IL, 60631",Tuesday,60631,central,2022-10-25,steel,1549.37,7534.85,high price
1/2 in. Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),3.98,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Tuesday,30339,southeast,2022-10-25,steel,1549.37,7534.85,low price
1/2 in. Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),5.99,amazon,"410 Terry Ave N. Seattle, WA, 98109",Tuesday,98109,west,2022-10-25,steel,1549.37,7534.85,high price
1/2 in. Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),2.1,wilmar,"28 Biopolis Road. Singapore, 138568",Tuesday,other,other,2022-10-25,steel,1549.37,7534.85,low price
1/2 in. Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),5.99,lowes,"1000 Lowe's Blvd. Mooresville, NC, 28117",Tuesday,28117,east,2022-10-25,steel,1549.37,7534.85,high price
3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),2.98,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Tuesday,30339,southeast,2022-10-25,steel,1549.37,7534.85,low price
3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),3.66,supplyworks,"6260 Abbott Dr. Omaha, Nebraska, 68110",Tuesday,68110,central,2022-10-25,steel,1549.37,7534.85,high price
3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),2.98,pinterest,"651 Brannan St. San Francisco, CA, 94107",Tuesday,94107,west,2022-10-25,steel,1549.37,7534.85,low price
3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),3.6,superarbor,online,Tuesday,other,other,2022-10-25,steel,1549.37,7534.85,about average
1 in. Electric Metallic Tube (EMT) Set-Screw Coupling,1.15,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Tuesday,30339,southeast,2022-10-25,steel,1549.37,7534.85,high price
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),3.98,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Tuesday,30339,southeast,2022-10-25,steel,1549.37,7534.85,low price
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),5.99,amazon,"410 Terry Ave N. Seattle, WA, 98109",Tuesday,98109,west,2022-10-25,steel,1549.37,7534.85,high price
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),5.99,lowes,"1000 Lowe's Blvd. Mooresville, NC, 28117",Tuesday,28117,east,2022-10-25,steel,1549.37,7534.85,high price
3/4 in. Electrical Metallic Tube (EMT) Set-Screw Connector (5-Pack),4.6,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Tuesday,30339,southeast,2022-10-25,steel,1549.37,7534.85,low price
3/4 in. Electrical Metallic Tube (EMT) Set-Screw Connector (5-Pack),5.99,lowes,"1000 Lowe's Blvd. Mooresville, NC, 28117",Tuesday,28117,east,2022-10-25,steel,1549.37,7534.85,about average
1 in. Electrical Metallic Tube (EMT) Set-Screw Connector,1.6,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Tuesday,30339,southeast,2022-10-25,steel,1549.37,7534.85,high price
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,118.0,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Tuesday,30339,southeast,2022-10-25,copper,1549.37,7534.85,high price
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,114.0,amazon,"410 Terry Ave N. Seattle, WA, 98109",Tuesday,98109,west,2022-10-25,copper,1549.37,7534.85,about average
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,111.99,ebay,"2025 Hamilton Avenue. San Jose, California, 95125",Tuesday,95125,west,2022-10-25,copper,1549.37,7534.85,about average
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,84.99,landmsupply,"1200 E Us Hwy 169. Grand Rapids, Minnesota, 55744",Tuesday,55744,northplaines,2022-10-25,copper,1549.37,7534.85,low price
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,117.0,socalelectric,"5512 West Pico Blvd. Los Angeles, CA, 90019",Tuesday,90019,west,2022-10-25,copper,1549.37,7534.85,about average
250 ft. 14/3 Solid Romex SIMpull CU NM-B W/G Wire,158.0,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Tuesday,30339,southeast,2022-10-25,copper,1549.37,7534.85,low price
250 ft. 14/3 Solid Romex SIMpull CU NM-B W/G Wire,159.0,lowes,"1000 Lowe's Blvd. Mooresville, NC, 28117",Tuesday,28117,east,2022-10-25,copper,1549.37,7534.85,about average
250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,149.0,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Tuesday,30339,southeast,2022-10-25,copper,1549.37,7534.85,high price
250 ft. 12/3 Solid Romex SIMpull CU NM-B W/G Wire,289.0,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Tuesday,30339,southeast,2022-10-25,copper,1549.37,7534.85,low price
250 ft. 12/3 Solid Romex SIMpull CU NM-B W/G Wire,289.0,lowes,"1000 Lowe's Blvd. Mooresville, NC, 28117",Tuesday,28117,east,2022-10-25,copper,1549.37,7534.85,low price
250 ft. 12/3 Solid Romex SIMpull CU NM-B W/G Wire,339.09,qcsupply,"574 Road 11. Schuyler, Nebraska, 68661",Tuesday,68661,central,2022-10-25,copper,1549.37,7534.85,high price
500 ft. 4 Gauge Black Stranded Copper THHN Wire,613.64,amazon,"410 Terry Ave N. Seattle, WA, 98109",Tuesday,98109,west,2022-10-25,copper,1549.37,7534.85,low price
500 ft. 4 Gauge Black Stranded Copper THHN Wire,1047.78,ebay,"2025 Hamilton Avenue. San Jose, California, 95125",Tuesday,95125,west,2022-10-25,copper,1549.37,7534.85,high price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,379.0,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Tuesday,30339,southeast,2022-10-25,copper,1549.37,7534.85,low price
